                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    373,                 1.2687,                0.62296,                 1.1388,                0.81292,                0.73946,                0.78761,                0.38625,                 1.7684,                  0.758,                 1.4578,               0.000793,               0.000793,               0.000793
                    374,                 1.2662,                0.61803,                 1.1342,                0.81466,                0.73669,                 0.7879,                0.38667,                 1.7686,                0.75902,                 1.4583,             0.00076825,             0.00076825,             0.00076825
                    375,                 1.2604,                0.61477,                 1.1393,                0.80889,                0.73636,                0.78412,                0.38595,                 1.7684,                0.75829,                 1.4584,              0.0007435,              0.0007435,              0.0007435
                    376,                 1.2654,                0.61586,                 1.1341,                0.84342,                0.71281,                0.78879,                0.38633,                 1.7682,                0.75814,                 1.4585,             0.00071875,             0.00071875,             0.00071875
                    377,                 1.2604,                0.61561,                 1.1367,                0.81402,                0.73079,                0.78426,                0.38532,                 1.7679,                0.75839,                 1.4587,               0.000694,               0.000694,               0.000694
                    378,                 1.2603,                0.61535,                 1.1298,                 0.8118,                0.73852,                0.78794,                 0.3864,                 1.7679,                0.75845,                 1.4594,             0.00066925,             0.00066925,             0.00066925
                    379,                 1.2528,                0.60936,                 1.1297,                0.84871,                  0.709,                0.78812,                0.38751,                 1.7678,                0.75786,                 1.4597,              0.0006445,              0.0006445,              0.0006445
                    380,                 1.2562,                0.61379,                 1.1337,                0.80832,                0.73619,                0.78271,                0.38628,                 1.7686,                0.75861,                 1.4601,             0.00061975,             0.00061975,             0.00061975
                    381,                 1.2513,                0.60905,                 1.1336,                0.81139,                 0.7391,                0.78654,                0.38639,                 1.7688,                0.75908,                 1.4602,               0.000595,               0.000595,               0.000595
                    382,                 1.2597,                  0.615,                 1.1353,                0.81165,                0.73881,                0.78641,                 0.3876,                 1.7694,                0.75803,                  1.461,             0.00057025,             0.00057025,             0.00057025
                    383,                 1.2453,                0.61109,                 1.1261,                0.81236,                0.73965,                0.78648,                0.38742,                 1.7694,                0.75812,                 1.4616,              0.0005455,              0.0005455,              0.0005455
                    384,                 1.2529,                0.61356,                 1.1376,                0.81333,                0.73865,                0.78632,                 0.3865,                 1.7692,                0.75793,                 1.4619,             0.00052075,             0.00052075,             0.00052075
                    385,                 1.2544,                0.60949,                 1.1289,                 0.8142,                0.73829,                0.78533,                0.38634,                 1.7692,                0.75694,                 1.4622,               0.000496,               0.000496,               0.000496
                    386,                 1.2504,                0.61096,                 1.1284,                0.81368,                0.74044,                0.78633,                0.38702,                 1.7696,                0.75771,                  1.463,             0.00047125,             0.00047125,             0.00047125
