                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.5304,                0.85944,                  1.305,                0.83624,                0.70286,                0.75624,                0.36424,                 1.7457,                0.80992,                 1.4379,              0.0084358,              0.0084358,              0.0084358
                     81,                 1.5253,                0.85513,                 1.3009,                0.85409,                 0.6952,                0.76525,                0.36762,                 1.7365,                0.79885,                 1.4289,               0.008416,               0.008416,               0.008416
                     82,                 1.5259,                0.85347,                 1.2967,                0.85771,                0.70929,                0.77442,                0.37521,                  1.745,                0.78658,                  1.438,              0.0083962,              0.0083962,              0.0083962
                     83,                 1.5194,                0.85028,                  1.299,                0.85666,                0.70669,                 0.7745,                0.37185,                 1.7519,                0.79453,                 1.4368,              0.0083764,              0.0083764,              0.0083764
                     84,                 1.5237,                0.85139,                  1.298,                0.85312,                0.69769,                0.77284,                0.38254,                 1.7459,                 0.8002,                 1.4433,              0.0083566,              0.0083566,              0.0083566
                     85,                 1.5061,                0.84755,                 1.2917,                0.85757,                 0.6875,                0.74938,                0.37608,                 1.7288,                0.79793,                 1.4297,              0.0083368,              0.0083368,              0.0083368
                     86,                 1.5181,                0.85003,                 1.2945,                0.85309,                0.71259,                 0.7778,                0.38511,                 1.7379,                0.78587,                 1.4341,               0.008317,               0.008317,               0.008317
                     87,                  1.513,                0.84338,                 1.2878,                0.81627,                0.70686,                0.75642,                0.37567,                 1.7446,                0.79345,                  1.436,              0.0082972,              0.0082972,              0.0082972
                     88,                 1.5071,                0.83771,                 1.2903,                 0.8501,                0.71759,                0.76652,                0.37409,                 1.7412,                0.79527,                 1.4361,              0.0082774,              0.0082774,              0.0082774
                     89,                 1.5054,                 0.8354,                  1.286,                0.83381,                0.72144,                0.76924,                0.38541,                 1.7322,                0.79987,                  1.428,              0.0082576,              0.0082576,              0.0082576
                     90,                 1.5059,                0.83566,                   1.29,                0.85467,                0.69271,                0.76606,                0.38341,                 1.7425,                 0.7909,                 1.4346,              0.0082378,              0.0082378,              0.0082378
                     91,                  1.498,                0.83263,                 1.2868,                0.85675,                0.68797,                0.76839,                0.39612,                 1.7331,                 0.7971,                  1.425,               0.008218,               0.008218,               0.008218
                     92,                 1.4932,                0.82804,                 1.2783,                0.84571,                0.70896,                0.77094,                0.37821,                 1.7475,                0.79138,                 1.4309,              0.0081982,              0.0081982,              0.0081982
                     93,                 1.5007,                 0.8269,                 1.2818,                0.82469,                0.71779,                0.76863,                0.36883,                  1.737,                0.79032,                  1.431,              0.0081784,              0.0081784,              0.0081784
                     94,                  1.492,                0.82595,                 1.2828,                0.83625,                0.72791,                0.77271,                0.36951,                 1.7299,                0.78752,                 1.4239,              0.0081586,              0.0081586,              0.0081586
                     95,                 1.4918,                0.82864,                  1.282,                0.86549,                0.70008,                0.77247,                0.38889,                 1.7431,                0.79421,                 1.4376,              0.0081388,              0.0081388,              0.0081388
